20,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
80,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
80,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
80,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
80,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
5,0,0,0,0
80,0,0,0,0
5,10,9,10,10
5,11,10,11,12
5,10,10,10,9
5,10,9,10,10
5,11,10,11,12
5,10,10,10,9
5,10,9,10,10
5,11,10,11,12
5,10,10,10,9
80,160,160,155,160
5,10,9,10,10
5,11,10,11,12
5,10,10,10,9
5,10,9,10,10
5,11,10,11,12
5,10,10,10,9
5,10,9,10,10
5,11,10,11,12
5,10,10,10,9
80,160,160,155,160
5,10,9,10,10
5,11,10,11,12
5,10,10,10,9
5,10,9,10,10
5,11,10,11,12
5,10,10,10,9
5,10,9,10,10
5,11,10,11,12
5,10,10,10,9
80,160,160,155,160
5,10,9,10,10
5,11,10,11,12
5,10,10,10,9
5,10,9,10,10
5,11,10,11,12
5,10,10,10,9
5,10,9,10,10
5,11,10,25,12
5,10,10,30,9
80,160,160,180,160
5,10,9,30,10
5,11,10,20,12
5,10,10,15,9
5,10,9,10,10
5,11,10,11,12
5,10,10,10,9
5,10,9,10,10
5,11,10,11,12
5,10,10,10,9
