0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,1.8,2,2
2.2,2,2.2,2.4
2,2,2,1.8
2,1.8,2,2
2.2,2,2.2,2.4
2,2,2,1.8
2,1.8,2,2
2.2,2,2.2,2.4
2,2,2,1.8
2,2,1.9375,2
2,1.8,2,2
2.2,2,2.2,2.4
2,2,2,1.8
2,1.8,2,2
2.2,2,2.2,2.4
2,2,2,1.8
2,1.8,2,2
2.2,2,2.2,2.4
2,2,2,1.8
2,2,1.9375,2
2,1.8,2,2
2.2,2,2.2,2.4
2,2,2,1.8
2,1.8,2,2
2.2,2,2.2,2.4
2,2,2,1.8
2,1.8,2,2
2.2,2,2.2,2.4
2,2,2,1.8
2,2,1.9375,2
2,1.8,2,2
2.2,2,2.2,2.4
2,2,2,1.8
2,1.8,2,2
2.2,2,2.2,2.4
2,2,2,1.8
2,1.8,2,2
2.2,2,5,2.4
2,2,6,1.8
2,2,2.25,2
2,1.8,6,2
2.2,2,4,2.4
2,2,3,1.8
2,1.8,2,2
2.2,2,2.2,2.4
2,2,2,1.8
2,1.8,2,2
2.2,2,2.2,2.4
2,2,2,1.8
